-0.118,0.735,0.085
-0.092,0.705,0.272
-0.118,0.591,0.398
-0.165,0.393,0.382
-0.134,0.356,0.255
-0.058,0.395,0.116
-0.024,0.452,0.192
-0.021,0.481,0.315
-0.053,0.434,0.334
-0.095,0.371,0.321
-0.101,0.39,0.31
-0.112,0.474,0.333
-0.127,0.555,0.375
-0.128,0.646,0.377
-0.173,0.752,0.335
-0.229,0.885,0.309
-0.268,0.905,0.27
-0.315,0.986,0.322
-0.313,1.101,0.205
-0.323,1.19,0.067
-0.29,1.28,0.02
-0.288,1.311,0.205
-0.283,1.306,0.479
-0.26,1.385,0.523
-0.259,1.413,0.268
-0.193,1.572,0.216
-0.209,1.588,0.393
-0.217,1.517,0.226
-0.215,1.536,-0.005
-0.1,1.572,-0.061
-0.042,1.537,0.152
-0.05,1.346,0.158
0.036,1.312,0.061
0.156,1.323,-0.004
0.258,1.282,0.061
0.416,1.241,0.123
0.483,1.149,0.149
0.547,1.081,0.021
0.604,1.053,-0.063
0.693,1.148,-0.099
0.71,1.2,-0.042
0.728,1.311,0.018
0.693,1.469,0.202
0.656,1.551,0.33
0.578,1.513,0.381
0.454,1.431,0.387
0.37,1.471,0.327
0.288,1.549,0.381
0.153,1.476,0.452
0.041,1.365,0.428
0.03,1.431,0.24
0.013,1.533,0.073
-0.077,1.568,0.121
-0.046,1.646,0.148
-0.04,1.754,0.201
-0.063,1.787,0.195
-0.104,1.734,0.183
-0.142,1.711,0.2
-0.184,1.565,0.244
-0.256,1.395,0.371
-0.273,1.262,0.391
-0.311,1.104,0.311
-0.322,0.897,0.174
-0.325,0.746,0.236
-0.273,0.681,0.35
-0.232,0.63,0.375
-0.17,0.645,0.277
-0.132,0.629,0.226
-0.112,0.587,0.225
-0.123,0.551,0.337
-0.115,0.548,0.415
-0.134,0.481,0.382
-0.136,0.439,0.244
-0.151,0.414,0.166
-0.163,0.398,0.154
-0.194,0.402,0.197
-0.22,0.459,0.251
-0.228,0.527,0.25
-0.251,0.574,0.243
-0.293,0.637,0.221
-0.296,0.729,0.195
-0.289,0.853,0.202
-0.274,0.958,0.131
-0.313,0.94,0.119
-0.345,0.923,0.083
-0.413,0.959,0.035
-0.396,1.194,-0.039
-0.348,1.569,0.269
-0.354,1.686,0.646
-0.373,1.68,0.814
-0.314,1.706,0.656
-0.158,1.858,0.525
-0.024,1.889,0.621
0.001,1.865,0.845
-0.063,1.727,0.894
0.015,1.588,0.606
0.122,1.546,0.449
0.153,1.383,0.456
0.226,1.284,0.478
0.283,1.144,0.37
0.345,1.064,0.214
0.43,0.996,0.1
0.493,0.975,0.044
0.564,0.96,0.034
0.584,0.986,0.159
0.577,1.011,0.279
0.564,1.06,0.339
0.593,1.192,0.341
0.627,1.388,0.327
0.628,1.533,0.287
0.508,1.554,0.342
0.393,1.56,0.393
0.337,1.563,0.383
0.288,1.635,0.33
0.165,1.717,0.445
0.053,1.779,0.621
-0.061,1.834,0.683
-0.101,1.867,0.529
-0.195,1.771,0.651
-0.305,1.625,0.794
-0.351,1.519,0.634
-0.308,1.546,0.31
-0.245,1.578,0.067
-0.223,1.501,-0.002
-0.257,1.323,0.088
-0.259,1.16,0.182
-0.324,0.967,0.328
-0.342,0.767,0.344
-0.342,0.623,0.249
-0.301,0.535,0.111
-0.253,0.478,0.055
-0.231,0.448,0.123
-0.244,0.362,0.203
-0.229,0.308,0.229
-0.225,0.261,0.21
-0.265,0.22,0.079
-0.293,0.185,0.122
-0.373,0.177,0.27
-0.427,0.254,0.389
-0.416,0.385,0.373
-0.397,0.563,0.32
-0.331,0.767,0.183
-0.286,0.97,0.155
-0.261,1.05,0.185
-0.259,1.152,0.289
-0.262,1.232,0.294
-0.288,1.272,0.305
-0.318,1.286,0.289
-0.343,1.324,0.241
-0.362,1.419,0.209
-0.335,1.492,0.092
-0.332,1.469,0.025
-0.337,1.489,0.076
-0.281,1.592,0.125
-0.231,1.607,0.222
-0.131,1.697,0.321
0.042,1.831,0.473
0.146,1.872,0.597
0.252,1.828,0.643
0.297,1.531,0.477
0.312,1.26,0.31
0.372,1.185,0.249
0.484,1.189,0.146
0.527,1.179,0.168
0.548,1.14,0.288
0.568,1.094,0.294
0.594,1.088,0.208
0.616,1.187,0.088
0.626,1.333,0.062
0.575,1.407,0.129
0.534,1.447,0.156
0.474,1.493,0.198
0.366,1.503,0.254
0.242,1.443,0.293
0.129,1.449,0.3
0.049,1.487,0.23
0,1.477,0.153
0,1.47,0.099
-0.005,1.525,0.226
-0.037,1.563,0.405
-0.047,1.573,0.376
-0.009,1.634,0.379
-0.045,1.56,0.309
-0.097,1.406,0.269
-0.113,1.307,0.238
-0.136,1.179,0.172
-0.151,1.088,0.143
-0.096,1.198,0.147
-0.08,1.216,0.219
-0.119,1.034,0.194
-0.2,0.814,0.268
-0.244,0.611,0.223
-0.219,0.549,0.184
-0.182,0.548,0.198
-0.182,0.505,0.293
-0.208,0.42,0.363
-0.207,0.331,0.308
-0.207,0.269,0.208
-0.205,0.241,0.147
-0.221,0.312,0.149
-0.229,0.399,0.244
-0.251,0.506,0.332
-0.262,0.582,0.338
-0.295,0.65,0.285
-0.347,0.746,0.199
-0.344,0.834,0.183
-0.304,0.95,0.169
-0.263,1.021,0.146
-0.259,1.002,0.054
-0.293,1.062,0.019
-0.343,1.115,0.093
-0.375,1.253,0.233
-0.357,1.455,0.339
-0.33,1.589,0.314
-0.334,1.638,0.263
-0.355,1.623,0.231
-0.322,1.648,0.173
-0.162,1.878,0.261
0.013,1.999,0.33
0.042,1.846,0.294
0.021,1.539,0.239
0.063,1.484,0.32
0.161,1.469,0.409
0.271,1.418,0.372
0.358,1.372,0.218
0.421,1.241,0.16
0.428,1.136,0.192
0.49,1.12,0.235
0.531,1.141,0.288
0.521,1.152,0.341
0.487,1.148,0.367
0.462,1.203,0.401
0.456,1.324,0.333
0.416,1.418,0.208
0.386,1.527,0.086
0.365,1.664,0.016
0.261,1.691,0.074
0.155,1.679,0.195
0.074,1.719,0.322
-0.018,1.73,0.432
-0.112,1.674,0.373
